idiom;lemmatized
bad hair day;bad hair day
bad joke;bad joke
bad name;bad name
bad news;bad new
bad old days;bad old day
bad taste in one's mouth;bad taste in mouth
bad word;bad word
bag of tricks;bag of trick
bail out;bail out
baker's dozen;baker dozen
balance out;balance out
balance the books;balance the book
balancing act;balance act
ball of fire;ball of fire
ballpark figure;ballpark figure
balls-out;ball out
balls-up;ball up
banana republic;banana republic
band together;band together
bang for the buck;bang for the buck
bang on;bang on
bang out;bang out
bang up;bang up
banged up;bang up
bank up;bank up
baptism by fire;baptism by fire
bar none;bar none
bar off;bar off
bar up;bar up
bare metal;bare metal
bare one's soul;bare soul
bargain basement;bargain basement
barge in;barge in
barn doors;barn door
barrel of laughs;barrel of laugh
basket case;basket case
bat an eyelid;bat an eyelid
batten down the hatches;batten down the hatch
battle cry;battle cry
be a man;be a man
be absorbed by;be absorb by
be around;be around
bee in one's bonnet;bee in bonnet
beef up;beef up
been there, done that;be there do that
beer goggles;beer goggle
before someone's time;before time
beg to differ;beg to differ
behind bars;behind bar
behind closed doors;behind close door
behind someone's back;behind back
behind the counter;behind the counter
behind the eight-ball;behind the eight ball
behind the scenes;behind the scene
behind the times;behind the time
behind the wheel;behind the wheel
being that;be that
believe it or not;believe it or not
believe one's ears;believe ear
believe one's eyes;believe eye
believe you me;believe you me
bells and whistles;bell and whistle
belly up;belly up
below par;below par
below the belt;below the belt
belt out;belt out
bend over backwards;bend over backward
bend the rules;bend the rule
beneath the surface;beneath the surface
bent on;bend on
beside the point;beside the point
best bet;best bet
best laid plans;best lay plan
best of both worlds;best of both world
best of the bunch;best of the bunch
best regards;best regard
best thing since sliced bread;best thing since slice bread
best-kept secret;best keep secret
bet one's bottom dollar;bet bottom dollar
bet the farm;bet the farm
better and better;good and good
better angels;good angel
better half;good half
between a rock and a hard place;between a rock and a hard place
between the pipes;between the pip
beyond the call of duty;beyond the call of duty
beyond the pale;beyond the pale
bide one's time;bide time
big boy;big boy
big boys;big boy
big break;big break
big bucks;big buck
big cheese;big cheese
big deal;big deal
big fat;big fat
big fish in a small pond;big fish in a small pond
big girl;big girl
big gun;big gun
big guy;big guy
big house;big house
big mouth;big mouth
big name;big name
big ol';big ol
big old;big old
big ole;big ole
big picture;big picture
big shop;big shop
big shot;big shoot
big spender;big spender
big talk;big talk
big tent;big tent
big up;big up
big wheel;big wheel
big year;big year
big-boned;big bone
bigger fish to fry;big fish to fry
bill of goods;bill of good
bird's-eye view;bird eye view
birds and bees;bird and be
birds of a feather;bird of a feather
birthday suit;birthday suit
bit between one's teeth;bite between teeth
bite me;bite me
bite of the cherry;bite of the cherry
bite off;bite off
bite off more than one can chew;bite off more than one can chew
bite one's tongue;bite tongue
bite the bullet;bite the bullet
bite the dust;bite the dust
bite to eat;bite to eat
bits and bobs;bit and bob
bitter end;bitter end
bitter pill to swallow;bitter pill to swallow
black and blue;black and blue
black babies;black baby
black cat;black cat
black gold;black gold
black magic;black magic
black man;black man
black mark;black mark
black out;black out
black sheep;black sheep
black tie;black tie
black-on-black;black on black
blame game;blame game
blank canvas;blank canva
blank out;blank out
blank slate;blank slate
blast off;blast off
blaze a trail;blaze a trail
bleed to death;bleed to death
bleeding edge;bleed edge
bless you;bles you
blessing in disguise;bles in disguise
blind alley;blind alley
blind date;blind date
blink of an eye;blink of an eye
block out;block out
blocking and tackling;block and tackle
blood and guts;blood and gut
blood in the water;blood in the water
blood moon;blood moon
blood, sweat and tears;blood sweat and tear
blot out;blot out
blow away;blow away
blow it;blow it
blow me;blow me
blow off;blow off
blow off steam;blow off steam
blow over;blow over
blow smoke;blow smoke
blow someone's mind;blow mind
blow the whistle;blow the whistle
blow up in one's face;blow up in face
blow-by-blow;blow by blow
blue book;blue book
blue moon;blue moon
blue state;blue state
blue-eyed;blue eye
blue-eyed boy;blue eye boy
blue-sky thinking;blue sky think
blurt out;blurt out
board out;board out
body blow;body blow
body check;body check
body of water;body of water
bogged down;bogged down
boil down;boil down
boil over;boil over
boiling hot;boil hot
boiling point;boil point
bomb out;bomb out
bone dry;bone dry
bone of contention;bone of contention
bone up;bone up
bone-crunching;bone crunch
bone-deep;bone deep
bone-dry;bone dry
booby prize;booby prize
book in;book in
boot camp;boot camp
boot out;boot out
boots on the ground;boot on the grind
born and bred;bear and breed
born with a silver spoon in one's mouth;bear with a silver spoon in mouth
borrowed time;borrow time
bottle up;bottle up
bottom drawer;bottom drawer
bottom edge;bottom edge
bottom feeder;bottom feeder
bottom fishing;bottom fish
bottom line;bottom line
bottom of the ninth;bottom of the ninth
bottom out;bottom out
bought and paid for;buy and pay for
bounce back;bounce back
bounce off;bounce off
bow down;bow down
bow out;bow out
bowl over;bowl over
box seat;box seat
boy toy;boy toy
boys and girls;boy and girl
bragging rights;brag right
brain damage;brain damage
brain surgeon;brain surgeon
brain surgery;brain surgery
branch off;branch off
branch out;branch out
brass neck;bras neck
brass ring;bras ring
brass-neck;bras neck
bread and butter;bread and butter
bread-and-butter;bread and butter
break a leg;break a leg
break a sweat;break a sweat
break even;break even
break ground;break grind
break in;break in
break into;break into
break new ground;break new grind
break one's duck;break duck
break out;break out
break ranks;break rank
break someone's heart;break heart
break the back of;break the back of
break the bank;break the bank
break the cycle;break the cycle
break the deadlock;break the deadlock
break the ice;break the ice
break the mold;break the mold
break through;break through
break up;break up
break with;break with
breaking and entering;break and enter
breath of fresh air;breath of fresh air
breathe a sigh of relief;breathe a sigh of relief
breathe easy;breathe easy
brick and mortar;brick and mortar
brick by brick;brick by brick
brick house;brick house
brick in;brick in
brick wall;brick wall
bricks and mortar;brick and mortar
bridge the gap;bridge the gap
bright and early;bright and early
bright lights;bright light
bright line;bright line
bright-line rule;bright line rule
bring about;bring about
bring forward;bring forward
bring home;bring home
bring home the bacon;bring home the bacon
bring on;bring on
bring over;bring over
bring to a boil;bring to a boil
bring to bear;bring to bear
bring to justice;bring to justice
bring to light;bring to light
bring to the table;bring to the table
bring up;bring up
broad church;broad church
broad shoulders;broad shoulder
broad strokes;broad stroke
broaden someone's horizons;broaden horizon
broken record;break record
broken-hearted;break hearted
broom closet;broom closet
brown bag;brown bag
brown bread;brown bread
brush aside;brush aside
brush by;brush by
brush off;brush off
brush up;brush up
bubble over;bubble over
buck for;buck for
buck the trend;buck the trend
buck up;buck up
bucket list;bucket list
buckle down;buckle down
buckle up;buckle up
bug out;bug out
bugger all;bugger all
bugger off;bugger off
build bridges;build bridge
build up;build up
bulk billing;bulk bill
bum rap;bum rap
bump and grind;bump and grind
bump in the road;bump in the road
bump into;bump into
bump off;bump off
bump up;bump up
bundle of energy;bundle of energy
bundle of joy;bundle of joy
bundle of nerves;bundle of nerve
buried treasure;bury treasure
burn out;burn out
burst in;burst in
burst into tears;burst into tear
burst out laughing;burst out laugh
burst someone's bubble;burst bubble
bury one's head in the sand;bury head in the sand
bury the hatchet;bury the hatchet
bush league;bush league
business as usual;busines a usual
business end;busines end
bust a move;bust a move
bust out;bust out
busted flush;bust flush
busy work;busy work
but good;but good
butt heads;butt head
butt in;butt in
butt out;butt out
button-down;button down
buttoned-down;button down
buy into;buy into
buy out;buy out
buy time;buy time
buy to let;buy to let
buy up;buy up
buzz off;buzz off
by a long shot;by a long shoot
by all accounts;by all account
by all means;by all mean
by and large;by and large
by any chance;by any chance
by any means;by any mean
by any stretch of the imagination;by any stretch of the imagination
by far;by far
by halves;by halve
by hand;by hand
by heart;by heart
by hook or by crook;by hook or by crook
by mistake;by mistake
by no means;by no mean
by one's own hand;by own hand
by rights;by right
by the book;by the book
by the numbers;by the number
by the same token;by the same token
by the skin of one's teeth;by the skin of teeth
by the time;by the time
by the way;by the way
by trade;by trade
by virtue of;by virtue of
by-the-book;by the book
by-the-numbers;by the number
cake walk;cake walk
call a spade a spade;call a spade a spade
call it a day;call it a day
call it a night;call it a night
call it quits;call it quit
call on;call on
call out;call out
call someone's bluff;call bluff
call the shots;call the shot
call up;call up
calling card;call card
calm before the storm;calm before the storm
camp out;camp out
can it;can it
can of worms;can of worm
can't even;cant even
can't get enough;cant get enough
can't help;cant help
can't seem;cant seem
can't stand;cant stand
can't wait;cant wait
cap in hand;cap in hand
captain's pick;captain pick
care package;care package
carried away;carry away
carrot and stick;carrot and stick
carry a tune;carry a tune
carry forward;carry forward
carry off;carry off
carry on;carry on
carry out;carry out
carry over;carry over
carry the can;carry the can
carry through;carry through
carve out;carve out
carved in stone;carve in stone
case closed;case close
cash cow;cash cow
cash in;cash in
cash up;cash up
cast a shadow;cast a shadow
cast aside;cast aside
cast aspersions;cast aspersion
cast one's vote;cast vote
cast the first stone;cast the first stone
cat and mouse;cat and mouse
cat-and-mouse;cat and mouse
catbird seat;catbird seat
catch a cold;catch a cold
catch fire;catch fire
catch it;catch it
