idiom;lemmatized
feet on the ground;foot on the grind
female-to-male;female to male
fence in;fence in
fever pitch;fever pitch
few and far between;few and far between
field day;field day
fifth wheel;fifth wheel
fight fire with fire;fight fire with fire
fight fires;fight fire
fighting chance;fight chance
figure of speech;figure of speech
figure out;figure out
fill in;fill in
fill in the blank;fill in the blank
fill one's boots;fill boot
fill someone's shoes;fill shoe
fill the bill;fill the bill
fill up;fill up
filter down;filter down
filthy rich;filthy rich
final curtain;final curtain
final cut;final cut
final nail in the coffin;final nail in the coffin
final say;final say
final solution;final solution
find another gear;find another gear
find it in one's heart;find it in heart
find one's feet;find foot
find one's voice;find voice
find out;find out
find the net;find the net
fine line;fine line
fine print;fine print
finest hour;fine hour
fire drill;fire drill
fire hose;fire hose
fire in the belly;fire in the belly
fire on all cylinders;fire on all cylinder
fire-breathing;fire breathe
firing line;fire line
firm up;firm up
first among equals;first among equal
first and last;first and last
first annual;first annual
first come, first served;first come first serve
first love;first love
first of all;first of all
first off;first off
first port of call;first port of call
first rate;first rate
first up;first up
fish kill;fish kill
fish out;fish out
fish out of water;fish out of water
fish to fry;fish to fry
fishing expedition;fish expedition
fit for a king;fit for a king
fit out;fit out
fit the bill;fit the bill
fits and starts;fit and start
flag down;flag down
flash back;flash back
flash in the pan;flash in the pan
flat out;flat out
flat-chested;flat chested
flat-footed;flat foot
flatten out;flatten out
flesh out;flesh out
flight of fancy;flight of fancy
flip out;flip out
flip over;flip over
float around;float around
float someone's boat;float boat
floor it;floor it
fluff up;fluff up
flush out;flush out
fly a kite;fly a kite
fly by;fly by
fly in the face of;fly in the face of
fly in the ointment;fly in the ointment
fly low;fly low
fly off;fly off
fly off the handle;fly off the handle
fly off the shelves;fly off the shelve
fly on the wall;fly on the wall
fly-by-night;fly by night
flying fish;fly fish
flying start;fly start
flying visit;fly visit
fold up;fold up
follow in someone's footsteps;follow in footstep
follow suit;follow suit
follow through;follow through
food baby;food baby
food chain;food chain
food for thought;food for think
fool with;fool with
fool's errand;fool errand
fool's paradise;fool paradise
for Africa;for africa
for England;for england
for Pete's sake;for pet sake
for a change;for a change
for a fact;for a fact
for a song;for a song
for a start;for a start
for all intents and purposes;for all intent and purpose
for all the world;for all the world
for crying out loud;for cry out loud
for days;for day
for good;for good
for good measure;for good measure
for goodness' sake;for goodnes sake
for heaven's sake;for heaven sake
for keeps;for keep
for my money;for my money
for old times' sake;for old time sake
for once;for once
for one's life;for life
for one's particular;for particular
for that matter;for that matter
for the ages;for the age
for the birds;for the bird
for the heck of it;for the heck of it
for the hell of it;for the hell of it
for the love of;for the love of
for the most part;for the most part
for the time being;for the time be
forbidden fruit;forbid fruit
force someone's hand;force hand
forgive and forget;forgive and forget
fork over;fork over
forked tongue;fork tongue
foul up;foul up
fountain of youth;fountain of youth
four-leaf clover;four leaf clover
fourth estate;fourth estate
fourth wall;fourth wall
free and easy;free and easy
free hand;free hand
free lunch;free lunch
free rein;free rein
free ride;free ride
free space;free space
free-for-all;free for all
freedom of speech;freedom of speech
freeze out;freeze out
freezing cold;freeze cold
fresh legs;fresh leg
fresh meat;fresh meat
fresh out of;fresh out of
fresh start;fresh start
fresh-faced;fresh face
friends in high places;friend in high place
from A to Z;from a to z
from a mile away;from a mile away
from cover to cover;from cover to cover
from hunger;from hunger
from pillar to post;from pillar to post
from scratch;from scratch
from the bottom of one's heart;from the bottom of heart
from the cradle to the grave;from the cradle to the grave
from the get-go;from the get go
from the ground up;from the grind up
from the word go;from the word go
from time to time;from time to time
front and center;front and center
front foot;front foot
front load;front load
front runner;front runner
front wall;front wall
frown at;frown at
frown on;frown on
frown upon;frown upon
fry up;fry up
fuck off;fuck off
fuck you;fuck you
fucked up;fuck up
full English;full english
full blast;full blast
full circle;full circle
full marks;full mark
full name;full name
full of beans;full of bean
full of crap;full of crap
full of it;full of it
full ride;full ride
full speed ahead;full speed ahead
full tilt;full tilt
full to the brim;full to the brim
full-fledged;full fledge
full-stretch;full stretch
fun and games;fun and game
funny bone;funny bone
funny man;funny man
funny money;funny money
funny stuff;funny stuff
gallows humor;gallow humor
game face;game face
game out;game out
game plan;game plan
gang up;gang up
gang up on;gang up on
garden path;garden path
garden variety;garden variety
gather dust;gather dust
gear up;gear up
genetic modification;genetic modification
genie is out of the bottle;genie be out of the bottle
get a fix;get a fix
get a grip;get a grip
get a handle on;get a handle on
get a jump on;get a jump on
get a kick out of;get a kick out of
get a leg up;get a leg up
get a life;get a life
get a move on;get a move on
get a rise out of;get a rise out of
get a room;get a room
get along;get along
get around;get around
get away with;get away with
get away with murder;get away with murder
get back at;get back at
get behind;get behind
get better;get good
get busy;get busy
get by;get by
get carried away;get carry away
get changed;get change
get cold feet;get cold foot
get cracking;get crack
get down to business;get down to busines
get even;get even
get fresh;get fresh
get high;get high
get in;get in
get in on the act;get in on the act
get into one's stride;get into stride
get into trouble;get into trouble
get it;get it
get it on;get it on
get it over with;get it over with
get it up;get it up
get laid;get lay
get lost;get lose
get moving;get move
get off one's chest;get off chest
get off the ground;get off the grind
get off with;get off with
get on someone's nerves;get on nerve
get on the end of;get on the end of
get on to;get on to
get one's act together;get act together
get one's feet wet;get foot wet
get one's fill;get fill
get one's foot in the door;get foot in the door
get one's hands dirty;get hand dirty
get one's hands on;get hand on
get one's head around;get head around
get one's hopes up;get hop up
get one's money's worth;get money worth
get one's skates on;get skate on
get one's way;get way
get onto;get onto
get out of here;get out of here
get out of jail free card;get out of jail free card
get outside;get outside
get over;get over
get ready;get ready
get some;get some
get some air;get some air
get stuck in;get stick in
get stuck into;get stick into
get the ball rolling;get the ball roll
get the better of;get the good of
get the boot;get the boot
get the chop;get the chop
get the drift;get the drift
get the hang of;get the hang of
get the memo;get the memo
get the picture;get the picture
get the point;get the point
get the sack;get the sack
get the time;get the time
get the word out;get the word out
get there;get there
get through to;get through to
get to grips with;get to grip with
get to the bottom of;get to the bottom of
get to the point;get to the point
get together;get together
get under someone's skin;get under skin
get used;get use
get well;get well
get wet;get wet
get wind of;get wind of
get with the program;get with the program
get-rich-quick;get rich quick
gift horse;gift horse
gift of the gab;gift of the gab
gift that keeps on giving;gift that keep on give
give a shit;give a shit
give and take;give and take
give back;give back
give chase;give chase
give in;give in
give it one's best shot;give it best shoot
give me;give me
give notice;give notice
give one's all;give all
give or take;give or take
give out;give out
give someone a hand;give a hand
give someone a hard time;give a hard time
give someone pause;give pause
give something a whirl;give something a whirl
give thought;give think
give up the ghost;give up the ghost
give weight;give weight
glad tidings;glad tide
glass ceiling;glas ceiling
glass-half-empty;glas half empty
glass-half-full;glas half full
gloss over;glos over
glutton for punishment;glutton for punishment
go a long way;go a long way
go against the grain;go against the grain
go ahead;go ahead
go all out;go all out
go all the way;go all the way
go along for the ride;go along for the ride
go along to get along;go along to get along
go along with;go along with
go astray;go astray
go back in time;go back in time
go back to the drawing board;go back to the draw board
go ballistic;go ballistic
go bananas;go banana
go begging;go beg
go belly-up;go belly up
go by;go by
go by the wayside;go by the wayside
go deep;go deep
go down;go down
go down in flames;go down in flame
go down on;go down on
go down that road;go down that road
go down the drain;go down the drain
go down the road;go down the road
go downhill;go downhill
go downtown;go downtown
go far;go far
go figure;go figure
go for;go for
go for broke;go for break
go for it;go for it
go for the gold;go for the gold
go for the jugular;go for the jugular
go from strength to strength;go from strength to strength
go hand in hand;go hand in hand
go hang;go hang
go home;go home
go in;go in
go in with;go in with
go into;go into
go it alone;go it alone
go mad;go mad
go nowhere;go nowhere
go off;go off
go on;go on
go out;go out
go out of one's way;go out of way
go out on a limb;go out on a limb
go out with a bang;go out with a bang
go over;go over
go over someone's head;go over head
go overboard;go overboard
go pear-shaped;go pear shape
go places;go place
go public;go public
go red;go red
go so far as;go so far a
go south;go south
go straight;go straight
go the distance;go the distance
go the extra mile;go the extra mile
go the way of;go the way of
go the whole hog;go the whole hog
go through the motions;go through the motion
go through with;go through with
go to;go to
go to great lengths;go to great length
go to ground;go to grind
go to sea;go to sea
go to seed;go to seed
go to sleep;go to sleep
go to someone's head;go to head
go to the mat;go to the mat
go to the polls;go to the poll
go to the wall;go to the wall
go to town;go to town
go to work;go to work
go together;go together
go too far;go too far
go towards;go toward
go under;go under
go underground;go underground
go up;go up
go up for;go up for
go up in flames;go up in flame
go up in smoke;go up in smoke
go upstairs;go upstair
go west;go west
go wide;go wide
go wild;go wild
go with;go with
go with the flow;go with the flow
go without;go without
go without saying;go without say
go wrong;go wrong
go-getter;go getter
going at it;go at it
going rate;go rate
gold coin;gold coin
gold digger;gold digger
gold mine;gold mine
gold plate;gold plate
gold standard;gold standard
golden duck;golden duck
golden goose;golden goose
golden handshake;golden handshake
golden hello;golden hello
golden opportunity;golden opportunity
golden parachute;golden parachute
golden rule;golden rule
golden ticket;golden ticket
golden touch;golden touch
golden years;golden year
gone with the wind;go with the wind
good God;good god
good and;good and
good as one's word;good a word
good books;good book
good egg;good egg
good enough to eat;good enough to eat
good for nothing;good for nothing
good graces;good grace
good job;good job
good old boy;good old boy
good old days;good old day
good riddance;good riddance
good to go;good to go
good turn;good turn
good value;good value
good word;good word
good-for-nothing;good for nothing
good-hearted;good hearted
goof off;goof off
grab and go;grab and go
grab bag;grab bag
grace period;grace period
grand scheme;grand scheme
grand total;grand total
grasp the nettle;grasp the nettle
grass roots;gras root
gravy train;gravy train
grease the wheels;grease the wheel
greasy spoon;greasy spoon
great beyond;great beyond
great deal;great deal
great job;great job
great unwashed;great unwashed
green fingers;green finger
green light;green light
green paper;green paper
green thumb;green thumb
green with envy;green with envy
greener pastures;green pasture
grey area;grey area
grey matter;grey matter
grind down;grind down
grind out;grind out
grind to a halt;grind to a halt
gross up;gros up
ground rule;grind rule
ground-breaking;grind break
grow apart;grow apart
grow on;grow on
grow out of;grow out of
grow up;grow up
grunt work;grunt work
guess what;gues what
guilt trip;guilt trip
guilty pleasure;guilty pleasure
gum up;gum up
gun it;gun it
gut check;gut check
gut feeling;gut feel
gut reaction;gut reaction
hack away;hack away
hack it;hack it
had better;have good
hair of the dog;hair of the dog
hair-splitting;hair split
halcyon days;halcyon day
hale and hearty;hale and hearty
half term;half term
half-baked;half bake
half-naked;half naked
half-pint;half pint
halfway decent;halfway decent
ham it up;ham it up
hammer and sickle;hammer and sickle
hammer and tongs;hammer and tong
hammer home;hammer home
hand down;hand down
hand in glove;hand in glove
hand in hand;hand in hand
hand off;hand off
hand over;hand over
hand over fist;hand over fist
hand over hand;hand over hand
hand to mouth;hand to mouth
hand waving;hand wave
hand-in-glove;hand in glove
hand-to-mouth;hand to mouth
hands down;hand down
hands up;hand up
handwriting on the wall;handwrite on the wall
hang about;hang about
hang around;hang around
hang in the balance;hang in the balance
hang on;hang on
hang one's hat;hang hat
hang one's hat on;hang hat on
hang out;hang out
hang together;hang together
hang tough;hang tough
hang up;hang up
hang up one's boots;hang up boot
happen along;happen along
happily ever after;happily ever after
happy medium;happy medium
hard cheese;hard cheese
hard done by;hard do by
hard feelings;hard feel
hard lines;hard line
hard nut to crack;hard nut to crack
hard of hearing;hard of hear
hard pill to swallow;hard pill to swallow
hard yards;hard yard
hard-and-fast;hard and fast
hard-nosed;hard nose
hard-pressed;hard pres
hash out;hash out
hat in hand;hat in hand
hatchet job;hatchet job
hatchet man;hatchet man
haul off;haul off
haunted house;haunt house
have a ball;have a ball
have a couple;have a couple
have a few;have a few
have a fit;have a fit
have a go;have a go
have a good time;have a good time
have a handle on;have a handle on
have a heart;have a heart
have a laugh;have a laugh
have a mind of one's own;have a mind of own
have a mountain to climb;have a mountain to climb
have a nice day;have a nice day
have a pair;have a pair
have a say;have a say
have a seat;have a seat
have a thing;have a thing
have a word;have a word
have an eye for;have an eye for
have at;have at
have been around;have be around
have blood on one's hands;have blood on hand
have eyes on;have eye on
have got;have get
have had it;have have it
have in mind;have in mind
have it both ways;have it both way
have it easy;have it easy
have it in for;have it in for
have legs;have leg
have one's cake and eat it too;have cake and eat it too
have one's eye on;have eye on
have one's hands full;have hand full
have one's name on;have name on
have one's way;have way
have one's way with;have way with
have second thoughts;have second thought
have someone going;have go
have someone's back;have back
have someone's number;have number
have the floor;have the floor
have the last laugh;have the last laugh
have the time of one's life;have the time of life
have up;have up
have words;have word
he-man;he man
head and shoulders;head and shoulder
head for the hills;head for the hill
head honcho;head honcho
head hunter;head hunter
head of steam;head of steam
head over heels;head over heel
head scratcher;head scratcher
head south;head south
head start;head start
head to toe;head to toe
head up;head up
head-on;head on
head-scratching;head scratch
head-the-ball;head the ball
heads or tails;head or tail
heads up;head up
heads will roll;head will roll
heads-up;head up
hear out;hear out
hear things;hear thing
heart and soul;heart and soul
heart of gold;heart of gold
heart of hearts;heart of heart
heart to heart;heart to heart
heart-breaking;heart break
heat wave;heat wave
heaven forbid;heaven forbid
heavy going;heavy go
heavy hitter;heavy hitter
heavy lifting;heavy lift
hedge one's bets;hedge bet
hell on earth;hell on earth
hell or high water;hell or high water
hell to pay;hell to pay
helping hand;help hand
hen's teeth;hen teeth
here to stay;here to stay
here we go;here we go
here we go again;here we go again
here you are;here you be
here you go;here you go
here's to;here to
hiding to nothing;hide to nothing
high and mighty;high and mighty
high cotton;high cotton
high ground;high grind
high horse;high horse
high noon;high noon
high note;high note
high on the hog;high on the hog
high road;high road
high time;high time
highway robbery;highway robbery
hike up;hike up
hill of beans;hill of bean
hindsight is 20/20;hindsight be 2020
hired gun;hire gun
hit a snag;hit a snag
hit home;hit home
hit it big;hit it big
hit it off;hit it off
hit on;hit on
hit out;hit out
hit paydirt;hit paydirt
hit piece;hit piece
hit the big time;hit the big time
hit the books;hit the book
hit the bottle;hit the bottle
hit the buffers;hit the buff
hit the fan;hit the fan
hit the gas;hit the ga
hit the ground running;hit the grind run
hit the headlines;hit the headline
hit the jackpot;hit the jackpot
hit the nail on the head;hit the nail on the head
hit the pavement;hit the pavement
hit the road;hit the road
hit the rocks;hit the rock
hit the roof;hit the roof
hit the skids;hit the skid
hit up;hit up
hit upon;hit upon
hither and yon;hither and yon
hive of activity;hive of activity
hold a candle;hold a candle
hold a grudge;hold a grudge
hold back;hold back
hold court;hold court
hold down;hold down
hold forth;hold forth
hold it;hold it
hold off;hold off
hold on;hold on
hold one's breath;hold breath
hold one's head high;hold head high
hold one's horses;hold horse
hold one's nerve;hold nerve
hold one's own;hold own
hold one's tongue;hold tongue
hold out;hold out
hold over;hold over
hold someone's feet to the fire;hold foot to the fire
hold someone's hand;hold hand
hold sway;hold sway
hold the line;hold the line
hold the phone;hold the phone
hold the reins;hold the rein
hold true;hold true
hold up;hold up
hold up one's end;hold up end
hold water;hold water
hold-up play;hold up play
holding pattern;hold pattern
holy cow;holy cow
home and dry;home and dry
home and hosed;home and hose
home away from home;home away from home
home game;home game
home in on;home in on
home run;home run
home stretch;home stretch
home sweet home;home sweet home
home team;home team
home training;home train
honey do list;honey do list
honey trap;honey trap
honorable mention;honorable mention
hoof it;hoof it
hook in;hook in
hook up;hook up
hook, line and sinker;hook line and sinker
hoover up;hoover up
hop up;hop up
hop, skip, and a jump;hop skip and a jump
hope against hope;hope against hope
hopping mad;hop mad
hormone therapy;hormone therapy
horror show;horror show
horse around;horse around
horse's mouth;horse mouth
horses for courses;horse for course
hose down;hose down
hot air;hot air
hot and bothered;hot and bother
hot and cold;hot and cold
hot and heavy;hot and heavy
hot button;hot button
hot desking;hot desking
hot hand;hot hand
hot lunch;hot lunch
hot mess;hot mes
hot on;hot on
hot on someone's heels;hot on heel
hot plate;hot plate
hot potato;hot potato
hot stuff;hot stuff
hot to trot;hot to trot
hot under the collar;hot under the collar
hot up;hot up
hot water;hot water
house of cards;house of card
household name;household name
how are you;how be you
how come;how come
how so;how so
hugs and kisses;hug and kis
humble pie;humble pie
hunker down;hunker down
hurt someone's feelings;hurt feel
husband and wife;husband and wife
hustle and bustle;hustle and bustle
ice cool;ice cool
ice cube;ice cube
ice queen;ice queen
idiot box;idiot box
if I do say so myself;if i do say so self
if I'm honest;if im honest
if need be;if need be
if needs be;if need be
if nothing else;if nothing else
if only;if only
ifs, ands, or buts;if and or but
ill health;ill health
in Dutch;in dutch
in a bind;in a bind
in a canter;in a canter
in a flash;in a flash
in a heartbeat;in a heartbeat
in a league of one's own;in a league of own
in a nutshell;in a nutshell
in a pinch;in a pinch
in a state;in a state
in a walk;in a walk
in addition;in addition
in all honesty;in all honesty
in all one's glory;in all glory
in and out;in and out
in any way, shape, or form;in any way shape or form
in at the deep end;in at the deep end
in bed;in bed
in bed with;in bed with
in black and white;in black and white
in business;in busines
in character;in character
in chorus;in choru
in cold blood;in cold blood
in concert;in concert
in contention;in contention
in control;in control
in detail;in detail
in effigy;in effigy
in evidence;in evidence
in fact;in fact
in fee;in fee
in focus;in focu
in for the kill;in for the kill
in from the cold;in from the cold
in full force;in full force
in full gear;in full gear
in full swing;in full swing
in jest;in jest
in kind;in kind
in layman's terms;in layman term
in light of;in light of
in line;in line
in living memory;in live memory
in no small measure;in no small measure
in no time;in no time
in no time at all;in no time at all
in no uncertain terms;in no uncertain term
in no way;in no way
in no way, shape, or form;in no way shape or form
in one's armour;in armour
in one's book;in book
in one's dreams;in dream
in one's element;in element
in one's face;in face
in one's head;in head
in one's pocket;in pocket
in one's right mind;in right mind
in order;in order
in other words;in other word
in plain view;in plain view
in recent memory;in recent memory
in safe hands;in safe hand
in shape;in shape
in someone's pocket;in pocket
in someone's shoes;in shoe
in someone's wheelhouse;in wheelhouse
in spades;in spade
in spite of;in spite of
in state;in state
in stride;in stride
in the act;in the act
in the bag;in the bag
in the black;in the black
in the blink of an eye;in the blink of an eye
in the books;in the book
in the buff;in the buff
in the cards;in the card
in the clear;in the clear
in the crosshairs;in the crosshair
in the dark;in the dark
in the dock;in the dock
in the doghouse;in the doghouse
in the drink;in the drink
in the driver's seat;in the driver seat
in the driving seat;in the drive seat
in the face of;in the face of
in the fast lane;in the fast lane
in the final analysis;in the final analysi
in the first place;in the first place
in the game;in the game
in the here and now;in the here and now
in the hole;in the hole
in the hopper;in the hopper
in the hospital;in the hospital
in the hot seat;in the hot seat
in the interest of justice;in the interest of justice
in the lead;in the lead
in the least;in the least
in the limelight;in the limelight
in the line of duty;in the line of duty
in the long run;in the long run
in the long term;in the long term
in the loop;in the loop
in the making;in the make
in the middle of;in the middle of
in the money;in the money
in the nick of time;in the nick of time
in the offing;in the off
in the pink;in the pink
in the post;in the post
in the process of;in the proces of
in the raw;in the raw
in the red;in the red
in the right place at the right time;in the right place at the right time
in the room;in the room
in the running;in the run
in the safe;in the safe
in the same boat;in the same boat
in the same breath;in the same breath
in the short run;in the short run
in the soup;in the soup
in the sticks;in the stick
in the swim;in the swim
in the tank;in the tank
in the thick of;in the thick of
in the thick of it;in the thick of it
in the toilet;in the toilet
in the wake of;in the wake of
in the way;in the way
in the way of;in the way of
in the weeds;in the weed
in the wind;in the wind
in the works;in the work
in the world;in the world
in the worst way;in the bad way
in the wrong place at the wrong time;in the wrong place at the wrong time
in the zone;in the zone
in this day and age;in thi day and age
in too deep;in too deep
in touch;in touch
in vain;in vain
in view of;in view of
in with a chance;in with a chance
in your dreams;in your dream
in your face;in your face
inch by inch;inch by inch
inch-perfect;inch perfect
inner circle;inner circle
inner core;inner core
inner strength;inner strength
ins and outs;in and out
inside baseball;inside baseball
inside job;inside job
inside joke;inside joke
inside the box;inside the box
inside track;inside track
installed base;instal base
into detail;into detail
into thin air;into thin air
iron curtain;iron curtain
iron out;iron out
irons in the fire;iron in the fire
it figures;it figure
it goes to show;it go to show
it is what it is;it be what it be
it takes two to tango;it take two to tango
it's about time;it about time
it's all good;it all good
itchy feet;itchy foot
itsy bitsy;itsy bitsy
itty bitty;itty bitty
ivory tower;ivory tower
jack in;jack in
jack of all trades;jack of all trade
jet fuel;jet fuel
jet set;jet set
jet-setter;jet setter
jet-setting;jet set
jog on;jog on
join forces;join force
join the club;join the club
joined at the hip;join at the hip
jot down;jot down
judge, jury and executioner;judge jury and executioner
juice up;juice up
jump at;jump at
jump at the chance;jump at the chance
jump for joy;jump for joy
jump on;jump on
jump on the bandwagon;jump on the bandwagon
jump rope;jump rope
jump ship;jump ship
jump the gun;jump the gun
jump the queue;jump the queue
jump through hoops;jump through hoop
jump to conclusions;jump to conclusion
jumped-up;jump up
jury is out;jury be out
just a minute;just a minute
just a second;just a second
just about;just about
just deserts;just desert
just in case;just in case
just like that;just like that
just the same;just the same
just what the doctor ordered;just what the doctor order
kangaroo court;kangaroo court
keel over;keel over
keep a close watch on;keep a close watch on
keep a cool head;keep a cool head
keep a lid on;keep a lid on
keep a low profile;keep a low profile
keep an eye on;keep an eye on
keep an eye open;keep an eye open
keep an eye out;keep an eye out
keep company;keep company
keep house;keep house
keep in;keep in
keep it real;keep it real
keep it up;keep it up
keep mum;keep mum
keep on;keep on
keep one's chin up;keep chin up
keep one's cool;keep cool
keep one's eye on the ball;keep eye on the ball
keep one's eyes peeled;keep eye peel
keep one's fingers crossed;keep finger cros
keep one's head;keep head
keep one's head above water;keep head above water
keep one's head down;keep head down
keep one's mouth shut;keep mouth shut
keep one's options open;keep option open
keep pace;keep pace
keep quiet;keep quiet
keep someone company;keep company
keep someone in the loop;keep in the loop
keep someone posted;keep post
keep straight;keep straight
keep tabs on;keep tab on
keep the peace;keep the peace
keep up;keep up
keep up appearances;keep up appearance
keep up with the Joneses;keep up with the jone
keep watch;keep watch
kernel of truth;kernel of truth
kettle of fish;kettle of fish
keys to the kingdom;key to the kingdom
kick ass;kick a
kick back;kick back
kick butt;kick butt
kick in;kick in
kick in the pants;kick in the pant
kick in the teeth;kick in the teeth
kick it;kick it
kick off;kick off
kick out;kick out
kick the bucket;kick the bucket
kick the can down the road;kick the can down the road
kick the habit;kick the habit
kick the tires;kick the tire
kick up;kick up
kick up one's heels;kick up heel
kicking and screaming;kick and scream
kid around;kid around
kidding aside;kid aside
kill me;kill me
killer instinct;killer instinct
kind of;kind of
kindred spirit;kindred spirit
king of the hill;king of the hill
king's ransom;king ransom
kiss and make up;kis and make up
kiss goodbye;kis goodbye
kiss of death;kis of death
kiss of life;kis of life
kiss off;kis off
kitchen sink;kitchen sink
knife-edge;knife edge
knight in shining armor;knight in shin armor
knit together;knit together
knock down;knock down
knock it off;knock it off
knock off;knock off
knock on wood;knock on wood
knock out;knock out
knock over;knock over
knock someone's socks off;knock sock off
knocked up;knock up
know no bounds;know no bound
know one's way around;know way around
know someone;know
know the score;know the score
know where one stands;know where one stand
knuckle down;knuckle down
lab rat;lab rat
labor of love;labor of love
labour of love;labour of love
laced-up;lace up
ladies and gentlemen;lady and gentleman
ladies' man;lady man
land of opportunity;land of opportunity
land on one's feet;land on foot
landing strip;land strip
lap dog;lap dog
lap of luxury;lap of luxury
lap up;lap up
larger than life;large than life
last minute;last minute
last resort;last resort
last straw;last straw
last thing;last thing
last thing one needs;last thing one need
last trump;last trump
last word;last word
last-ditch;last ditch
latch onto;latch onto
late bloomer;late bloomer
late model;late model
laugh a minute;laugh a minute
laughing stock;laugh stock
laundry list;laundry list
law of the jungle;law of the jungle
lay an egg;lay an egg
lay down the law;lay down the law
lay eggs;lay egg
lay eyes on;lay eye on
lay hands on;lay hand on
lay of the land;lay of the land
lay off;lay off
lay on;lay on
lay over;lay over
lay the groundwork;lay the groundwork
lay to rest;lay to rest
lead nowhere;lead nowhere
lead off;lead off
lead on;lead on
lead the line;lead the line
lead time;lead time
lead up to;lead up to
leader of the free world;leader of the free world
leading light;lead light
lean and mean;lean and mean
lean on;lean on
lean towards;lean toward
leaps and bounds;leap and bound
leave behind;leave behind
leave home;leave home
leave no stone unturned;leave no stone unturned
leave off;leave off
left and right;leave and right
left field;leave field
legal duty;legal duty
legal eagle;legal eagle
legally binding;legally bind
lend a hand;lend a hand
lend itself to;lend self to
lesser of two evils;les of two evil
let alone;let alone
let bygones be bygones;let bygone be bygone
let down;let down
let fly;let fly
let go;let go
let in on;let in on
let it be;let it be
let loose;let loose
let nature take its course;let nature take it course
let off;let off
let on;let on
let one go;let one go
let one's hair down;let hair down
let slip;let slip
let someone go;let go
let someone have it;let have it
let the cat out of the bag;let the cat out of the bag
let the chips fall where they may;let the chip fall where they may
let them have it;let them have it
let us;let u
let-down;let down
level best;level best
level off;level off
level-headed;level head
licence to print money;licence to print money
lick one's wounds;lick wound
lie before;lie before
life and limb;life and limb
life and soul of the party;life and soul of the party
life is too short;life be too short
life of the party;life of the party
life-or-death;life or death
lift a finger;lift a finger
light a fire under;light a fire under
light at the end of the tunnel;light at the end of the tunnel
light on one's feet;light on foot
light up;light up
lighten up;lighten up
lightning fast;lightning fast
lightning in a bottle;lightning in a bottle
lightning-quick;lightning quick
lily-livered;lily livered
line in the sand;line in the sand
line one's pockets;line pocket
lion's den;lion den
lion's share;lion share
lip service;lip service
listen in;listen in
listen up;listen up
little head;little head
little old;little old
little person;little person
little woman;little woman
live a lie;live a lie
live and learn;live and learn
live and let live;live and let live
live it up;live it up
live large;live large
live off;live off
live on;live on
live on the edge;live on the edge
live one;live one
live paycheck to paycheck;live paycheck to paycheck
live the dream;live the dream
live wire;live wire
live with;live with
living proof;live proof
load up;load up
lock horns;lock horn
lock, stock and barrel;lock stock and barrel
log off;log off
lone gunman;lone gunman
long arm;long arm
long arm of the law;long arm of the law
long game;long game
long green;long green
long haul;long haul
long in the tooth;long in the tooth
long run;long run
long shot;long shoot
long since;long since
long story short;long story short
long tail;long tail
long time;long time
long way around;long way around
look after;look after
look around;look around
look at;look at
look back;look back
look forward to;look forward to
look here;look here
look into;look into
look like;look like
look off;look off
look on;look on
look on the bright side;look on the bright side
look out;look out
look the other way;look the other way
look the part;look the part
look through;look through
look to;look to
look up;look up
look up to;look up to
look-in;look in
looking glass;look glas
loom large;loom large
loose cannon;loose cannon
loose change;loose change
loose end;loose end
loose ends;loose end
loosen the purse strings;loosen the purse string
lord it over;lord it over
lose face;lose face
lose ground;lose grind
lose heart;lose heart
lose it;lose it
lose one's cool;lose cool
lose one's head;lose head
lose one's mind;lose mind
lose one's temper;lose temper
lose one's way;lose way
lose the plot;lose the plot
lose touch;lose touch
loss of face;los of face
lost cause;lose cause
lost in translation;lose in translation
lost soul;lose soul
loud and clear;loud and clear
love at first sight;love at first sight
love nest;love nest
love of one's life;love of life
loved up;love up
low blow;low blow
low road;low road
low-down;low down
low-hanging fruit;low hang fruit
luck in;luck in
luck of the draw;luck of the draw
luck out;luck out
lucky break;lucky break
lucky dip;lucky dip
lucky dog;lucky dog
lump in one's throat;lump in throat
lump it;lump it
made for each other;make for each other
made in China;make in china
made in Japan;make in japan
made of sterner stuff;make of stern stuff
made of stone;make of stone
magic bullet;magic bullet
mail it in;mail it in
main drag;main drag
main man;main man
make a clean break;make a clean break
make a decision;make a decision
make a difference;make a difference
make a go of;make a go of
make a killing;make a kill
make a meal of;make a meal of
make a mockery of;make a mockery of
make a move;make a move
make a point;make a point
make a splash;make a splash
make amends;make amend
make an appearance;make an appearance
make an example of;make an example of
make believe;make believe
make do;make do
make ends meet;make end meet
make for;make for
make fun of;make fun of
make good on;make good on
make ground;make grind
make hay;make hay
make hay while the sun shines;make hay while the sun shin
make headway;make headway
make history;make history
make it;make it
make it rain;make it rain
make it up to;make it up to
make light of;make light of
make light work of;make light work of
make matters worse;make matter bad
make news;make new
make no bones about;make no bone about
make one's bed;make bed
make one's mark;make mark
make one's way;make way
make over;make over
make peace;make peace
make quick work of;make quick work of
make sense;make sense
make short work of;make short work of
make someone's day;make day
make sure;make sure
make the cut;make the cut
make the grade;make the grade
make the most of;make the most of
make time;make time
make up one's mind;make up mind
make up the numbers;make up the number
make waves;make wave
make way;make way
male member;male member
male-to-female;male to female
mama's boy;mama boy
man and boy;man and boy
man and wife;man and wife
man down;man down
man in the street;man in the street
man of few words;man of few word
man of one's word;man of word
man of the hour;man of the hour
